LAUNCHERS------------------------------------------
Terminal                                 mod+Return
Firefox                                      mod+F1
VS Code                                      mod+F2
PCmanFM                                      mod+F3
Gimp                                         mod+F4
VCV Rack                                     mod+F5
Mousepad                                     mod+F6
Audacity                                     mod+F7
Mixxx                                        mod+F8
Pamac GUI                                    mod+F9
Typora                                      mod+F10
Sticky Terminal                             mod+F11
Gitkraken                                   mod+F12
ROFI MENUS-----------------------------------------
DRun menu                                     mod+d
Window menu                                   mod+g
Clipboard menu                                mod+c
i3-msg menu                                   mod+i
Power menu                               mod+Delete
Emoji menu                                    mod+e
Run menu                                      mod+o
Yaws menu                               mod+Shift+u
SCRATCHPAD-----------------------------------------
Move to scratchpad                        mod+minus
Dropdown email                                mod+m
Dropdown JACK patchbay                        mod+j
WINDOW & WORKSPACE MANAGEMENT----------------------
Move focus                              mod+[arrow]
Move container                    mod+Shift+[arrow]
Close focused window                    mod+Shift+q
Xkill                                    mod+Escape
Split horizontal                              mod+h
Split vertical                                mod+v
Toggle bar 1                              mod+comma
Toggle bar 2                             mod+period
Toggle gaps                                   mod+t
Fullscreen toggle                             mod+f
Global fullscreen                       mod+Shift+f
Toggle tiled/floating                     mod+space
Move workspace to other monitor               mod+x
Move container to other monitor         mod+Shift+x
Prev workspace                      mod+bracketleft
Next workspace                     mod+bracketright
Workspace n                                   mod+n
Move container to ws n                  mod+Shift+n
Move container to next empty workspace        mod+n
New workspace                                 mod+z
Swap displays                                 mod+y
Toggle tabbed/split                           mod+k
Reload i3 config                        mod+Shift+c
Restart i3 inplace                      mod+Shift+r
SCREEN---------------------------------------------
Screenshot full                           mod+Print
Screenshot screen                   mod+Shift+Print
Screenshot selection                          mod+p
Random paper                                  mod+u
Add paper to star list                        mod+a
Delete paper                            mod+Shift+a
